year_month,billboard_entries,avg_chart_rank,avg_weeks_on_chart,unique_artists,top_songs,top_artists,spotify_valence_mean,spotify_valence_std,spotify_energy_mean,spotify_energy_std,spotify_danceability_mean,spotify_danceability_std,spotify_acousticness_mean,spotify_acousticness_std,spotify_instrumentalness_mean,spotify_instrumentalness_std,spotify_loudness_mean,spotify_loudness_std,spotify_tempo_mean,spotify_tempo_std,spotify_speechiness_mean,spotify_speechiness_std,spotify_popularity_mean,spotify_popularity_std,spotify_track_count,news_article_count,news_sentiment_mean,news_sentiment_std,top_news_categories,news_politics_count,news_entertainment_count,news_comedy_count,news_crime_count,news_world_news_count,news_wellness_count,year,month,spotify_yearly_valence,spotify_yearly_energy,spotify_yearly_danceability,spotify_yearly_acousticness,spotify_yearly_tempo,spotify_yearly_popularity,historical_event,mood_music,mood_news,mood_composite
1958-08,400,50.5,2.1175,121,"['Poor Little Fool', 'Nel Blu Dipinto Di Blu (Volare)', 'Little Star']","['Ricky Nelson', 'Domenico Modugno', 'The Elegants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,8,0.4976614999999994,0.3087957550000006,0.4800213999999995,0.7796118650000005,113.32612349999994,19.2575,,0.4976614999999994,,0.4976614999999994
1958-09,500,50.5,4.822,129,"['Nel Blu Dipinto Di Blu (Volare)', ""It's All In The Game""]","['Domenico Modugno', 'Tommy Edwards']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,9,0.4976614999999994,0.3087957550000006,0.4800213999999995,0.7796118650000005,113.32612349999994,19.2575,,0.4976614999999994,,0.4976614999999994
1958-10,400,50.5,6.375,104,"[""It's All In The Game""]",['Tommy Edwards'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,10,0.4976614999999994,0.3087957550000006,0.4800213999999995,0.7796118650000005,113.32612349999994,19.2575,,0.4976614999999994,,0.4976614999999994
1958-11,400,50.5,7.0675,108,"[""It's All In The Game"", ""It's Only Make Believe"", 'Tom Dooley']","['Tommy Edwards', 'Conway Twitty', 'The Kingston Trio']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,11,0.4976614999999994,0.3087957550000006,0.4800213999999995,0.7796118650000005,113.32612349999994,19.2575,,0.4976614999999994,,0.4976614999999994
1958-12,500,50.5,6.99,117,"['To Know Him, Is To Love Him', 'The Chipmunk Song']","['The Teddy Bears', 'The Chipmunks With David Seville']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,12,0.4976614999999994,0.3087957550000006,0.4800213999999995,0.7796118650000005,113.32612349999994,19.2575,,0.4976614999999994,,0.4976614999999994
1959-01,400,50.5,6.775,116,"['The Chipmunk Song', 'Smoke Gets In Your Eyes']","['The Chipmunks With David Seville', 'The Platters']",0.4458808588957055,0.2699981082411631,0.28926206134969323,0.19698050394410827,0.4632620858895706,0.1662185521362396,0.7702825030674847,0.2216227154258881,0.25853377893251533,0.36697740678501367,-15.315000000000001,5.297736359117213,112.05561349693251,29.974178137502577,0.05877141104294478,0.07761274183522293,20.926380368098158,11.85205602282428,815.0,,,,,,,,,,,1959,1,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4458808588957055,,0.4458808588957055
1959-02,400,50.5,7.07,107,"['Smoke Gets In Your Eyes', 'Stagger Lee']","['The Platters', 'Lloyd Price']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,2,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-03,500,50.5,7.132,128,"['Stagger Lee', 'Venus']","['Lloyd Price', 'Frankie Avalon']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,3,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-04,400,50.5,6.7825,112,"['Venus', 'Come Softly To Me']","['Frankie Avalon', 'The Fleetwoods']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,4,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-05,400,50.5,6.2025,113,"['Come Softly To Me', 'The Happy Organ', 'Kansas City']","['The Fleetwoods', 'Dave ""Baby"" Cortez', 'Wilbert Harrison']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,5,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-06,500,50.5,6.378,119,['The Battle Of New Orleans'],['Johnny Horton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,6,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-07,400,50.5,6.37,117,"['The Battle Of New Orleans', 'Lonely Boy']","['Johnny Horton', 'Paul Anka']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,7,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-08,500,50.5,6.92,121,"['Lonely Boy', ""A Big Hunk O' Love"", 'The Three Bells']","['Paul Anka', 'Elvis Presley With The Jordanaires', 'The Browns']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,8,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-09,400,50.5,6.875,116,"['The Three Bells', 'Sleep Walk']","['The Browns', 'Santo & Johnny']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,9,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-10,400,50.5,6.4925,115,['Mack The Knife'],['Bobby Darin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,10,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-11,500,50.5,6.652,115,"['Mack The Knife', 'Mr. Blue']","['Bobby Darin', 'The Fleetwoods']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,11,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1959-12,400,50.5,7.185,116,"['Mack The Knife', 'Heartaches By The Number', 'Why']","['Bobby Darin', 'Guy Mitchell', 'Frankie Avalon']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,12,0.4784156410256422,0.3109944051282049,0.4821143076923083,0.7793927897435907,112.11770153846165,20.773333333333333,,0.4784156410256422,,0.4784156410256422
1960-01,400,50.5,7.0925,118,"['El Paso', 'Running Bear']","['Marty Robbins', 'Johnny Preston']",0.485431679389313,0.2698492417543409,0.3134372773536896,0.20634265021203632,0.46382162849872777,0.16827595735756717,0.7791652671755726,0.20803736142219292,0.22355691049618323,0.3465881466835691,-14.792921119592876,5.347823378061578,111.25410432569974,30.329009649261966,0.05919847328244275,0.0899396187979096,19.695928753180663,11.165251314100335,786.0,,,,,,,,,,,1960,1,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.485431679389313,,0.485431679389313
1960-02,500,50.5,6.41,133,"['Running Bear', 'Teen Angel', 'The Theme From ""A Summer Place""']","['Johnny Preston', 'Mark Dinning', 'Percy Faith And His Orchestra']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-03,400,50.5,6.7325,106,"['The Theme From ""A Summer Place""']",['Percy Faith And His Orchestra'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,3,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-04,400,50.5,7.1825,108,"['The Theme From ""A Summer Place""', 'Stuck On You']","['Percy Faith And His Orchestra', 'Elvis Presley With The Jordanaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,4,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-05,500,50.5,6.552,117,"['Stuck On You', ""Cathy's Clown""]","['Elvis Presley With The Jordanaires', 'The Everly Brothers']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,5,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-06,400,50.5,6.2975,111,"[""Cathy's Clown"", ""Everybody's Somebody's Fool""]","['The Everly Brothers', 'Connie Francis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,6,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-07,400,50.5,6.84,103,"[""Everybody's Somebody's Fool"", 'Alley-Oop', ""I'm Sorry""]","['Connie Francis', 'Hollywood Argyles', 'Brenda Lee']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,7,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-08,500,50.5,6.586,126,"[""I'm Sorry"", 'Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini', ""It's Now Or Never""]","['Brenda Lee', 'Brian Hyland', 'Elvis Presley With The Jordanaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,8,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-09,400,50.5,6.36,105,"[""It's Now Or Never"", 'The Twist', 'My Heart Has A Mind Of Its Own']","['Elvis Presley With The Jordanaires', 'Chubby Checker', 'Connie Francis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,9,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-10,500,50.5,6.63,120,"['My Heart Has A Mind Of Its Own', 'Mr. Custer', 'Save The Last Dance For Me']","['Connie Francis', 'Larry Verne', 'The Drifters']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,10,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-11,400,50.5,6.65,106,"['Save The Last Dance For Me', 'Georgia On My Mind', 'Stay']","['The Drifters', 'Ray Charles', 'Maurice Williams & The Zodiacs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,11,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1960-12,400,50.5,5.9475,116,['Are You Lonesome To-night?'],['Elvis Presley With The Jordanaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,12,0.5239316756756759,0.3411423783783781,0.4860292432432435,0.7671814843243259,112.56167891891872,19.783783783783782,,0.5239316756756759,,0.5239316756756759
1961-01,500,50.5,6.086,127,"['Are You Lonesome To-night?', 'Wonderland By Night', 'Will You Love Me Tomorrow']","['Elvis Presley With The Jordanaires', 'Bert Kaempfert And His Orchestra', 'The Shirelles']",0.44374647355163727,0.2617867845188305,0.30285029974811084,0.20382994026965542,0.46065617128463476,0.149227910592571,0.7729468261964736,0.19467992733637135,0.348097395604534,0.3931319976341752,-15.834474811083124,6.335328675369864,110.16504911838791,29.869341501260056,0.059258312342569265,0.0878368513016078,21.409319899244334,11.643505137844596,794.0,,,,,,,,,,,1961,1,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.44374647355163727,,0.44374647355163727
1961-02,400,50.5,6.19,113,"['Will You Love Me Tomorrow', 'Calcutta', 'Pony Time']","['The Shirelles', 'Lawrence Welk And His Orchestra', 'Chubby Checker']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,2,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-03,400,50.5,5.6225,119,"['Pony Time', 'Surrender']","['Chubby Checker', 'Elvis Presley With The Jordanaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,3,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-04,400,50.5,5.405,133,"['Blue Moon', 'Runaway']","['The Marcels', 'Del Shannon']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,4,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-05,500,50.5,5.478,136,"['Runaway', 'Mother-In-Law', ""Travelin' Man""]","['Del Shannon', 'Ernie K-Doe', 'Ricky Nelson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,5,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-06,400,50.5,5.7875,124,"['Running Scared', ""Travelin' Man"", 'Moody River']","['Roy Orbison', 'Ricky Nelson', 'Pat Boone']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,6,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-07,500,50.5,5.652,134,"['Quarter To Three', ""Tossin' And Turnin'""]","['U.S. Bonds', 'Bobby Lewis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,7,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-08,400,50.5,5.545,130,"[""Tossin' And Turnin'"", 'Wooden Heart']","['Bobby Lewis', 'Joe Dowell']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,8,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-09,400,50.5,5.4325,131,"['Michael', 'Take Good Care Of My Baby']","['The Highwaymen', 'Bobby Vee']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,9,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-10,500,50.5,5.558,126,"['Take Good Care Of My Baby', 'Hit The Road Jack', 'Runaround Sue']","['Bobby Vee', 'Ray Charles And His Orchestra With The Raelettes', 'Dion']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,10,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-11,400,50.5,6.0825,117,['Big Bad John'],['Jimmy Dean'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,11,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1961-12,400,50.5,6.3175,118,"['Big Bad John', 'Please Mr. Postman', 'The Lion Sleeps Tonight']","['Jimmy Dean', 'The Marvelettes', 'The Tokens']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,12,0.5128512105263155,0.3395318673684203,0.4891655789473678,0.7519038684210535,111.80895789473686,19.59842105263158,,0.5128512105263155,,0.5128512105263155
1962-01,400,50.5,6.5825,123,"['The Lion Sleeps Tonight', 'The Twist', 'Peppermint Twist - Part I']","['The Tokens', 'Chubby Checker', 'Joey Dee & the Starliters']",0.46999775840597763,0.27009901517768725,0.305773100871731,0.18227511252187292,0.45193748443337484,0.16664678305144293,0.768726699875467,0.20737243288740023,0.22662876493150685,0.3556411177249255,-14.780804483188046,5.390359616795884,113.57365628891655,31.66653135868675,0.057168866749688664,0.08293594455865524,22.296388542963886,12.814884752911073,803.0,,,,,,,,,,,1962,1,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.46999775840597763,,0.46999775840597763
1962-02,400,50.5,6.545,117,"['Peppermint Twist - Part I', 'Duke Of Earl']","['Joey Dee & the Starliters', 'Gene Chandler']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,2,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-03,500,50.5,6.31,138,"['Duke Of Earl', 'Hey! Baby', ""Don't Break The Heart That Loves You""]","['Gene Chandler', 'Bruce Channel', 'Connie Francis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,3,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-04,400,50.5,5.8525,126,"['Johnny Angel', 'Good Luck Charm']","['Shelley Fabares', 'Elvis Presley With The Jordanaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,4,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-05,400,50.5,5.8275,127,"['Soldier Boy', 'Stranger On The Shore']","['The Shirelles', 'Mr. Acker Bilk']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,5,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-06,500,50.5,5.95,137,"[""I Can't Stop Loving You""]",['Ray Charles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,6,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-07,400,50.5,5.85,125,"['The Stripper', 'Roses Are Red (My Love)']","['David Rose and His Orchestra', 'Bobby Vinton']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,7,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-08,400,50.5,5.7725,135,"['Roses Are Red (My Love)', 'Breaking Up Is Hard To Do', 'The Loco-Motion']","['Bobby Vinton', 'Neil Sedaka', 'Little Eva']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,8,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-09,500,50.5,5.596,128,"['Sheila', 'Sherry']","['Tommy Roe', 'The 4 Seasons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,9,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-10,400,50.5,5.5825,126,"['Sherry', 'Monster Mash']","['The 4 Seasons', 'Bobby ""Boris"" Pickett And The Crypt-Kickers']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,10,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-11,400,50.5,5.9675,118,"[""He's A Rebel"", ""Big Girls Don't Cry""]","['The Crystals', 'The 4 Seasons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,11,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1962-12,500,50.5,5.96,146,"[""Big Girls Don't Cry"", 'Telstar']","['The 4 Seasons', 'The Tornadoes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,12,0.5477920526315792,0.3710257,0.4931643684210523,0.720607806842106,114.84100473684197,22.12736842105264,,0.5477920526315792,,0.5477920526315792
1963-01,400,50.5,5.985,126,"['Telstar', 'Go Away Little Girl', 'Walk Right In']","['The Tornadoes', 'Steve Lawrence', 'The Rooftop Singers']",0.5041157352941177,0.2715234255744581,0.35364776470588233,0.22918020549530957,0.4594507352941176,0.15144000673569238,0.7551693117647059,0.24685032565514253,0.2938997615882353,0.3881308280121073,-14.624339705882353,5.5811160240954685,112.00287352941176,30.790077877383187,0.0617625,0.1152260705097178,25.751470588235293,11.09305920330763,680.0,,,,,,,,,,,1963,1,0.5415274500000008,0.3653538849999999,0.48162135,0.7227048300000004,114.32458749999984,25.5355,,0.5041157352941177,,0.5041157352941177
1963-02,400,50.5,5.91,124,"['Walk Right In', 'Hey Paula']","['The Rooftop Singers', 'Paul and Paula']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,2,0.5415274500000008,0.3653538849999999,0.48162135,0.7227048300000004,114.32458749999984,25.5355,,0.5415274500000008,,0.5415274500000008
1963-03,500,50.5,5.614,131,"['Walk Like A Man', 'Our Day Will Come', ""He's So Fine""]","['The 4 Seasons', 'Ruby And The Romantics', 'The Chiffons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,3,0.5415274500000008,0.3653538849999999,0.48162135,0.7227048300000004,114.32458749999984,25.5355,,0.5415274500000008,,0.5415274500000008
1963-04,400,50.5,5.81,128,"[""He's So Fine"", 'I Will Follow Him']","['The Chiffons', 'Little Peggy March']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,4,0.5415274500000008,0.3653538849999999,0.48162135,0.7227048300000004,114.32458749999984,25.5355,,0.5415274500000008,,0.5415274500000008
1963-05,400,50.5,5.5925,125,"['I Will Follow Him', 'If You Wanna Be Happy']","['Little Peggy March', 'Jimmy Soul']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,5,0.5415274500000008,0.3653538849999999,0.48162135,0.7227048300000004,114.32458749999984,25.5355,,0.5415274500000008,,0.5415274500000008
1963-06,500,50.5,5.462,136,"[""It's My Party"", 'Sukiyaki']","['Lesley Gore', 'Kyu Sakamoto']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,6,0.5415274500000008,0.3653538849999999,0.48162135,0.7227048300000004,114.32458749999984,25.5355,,0.5415274500000008,,0.5415274500000008
