year,total_billboard_entries,avg_unique_artists_monthly,avg_weeks_on_chart,avg_mood_composite,avg_mood_music,avg_mood_news,total_news_articles,total_spotify_tracks,events
1958,2200,115.8,5.4744,0.4976614999999994,0.4976614999999994,,0.0,0.0,
1959,5200,116.25,6.736208333333334,0.4757044091814808,0.4757044091814808,,0.0,815.0,
1960,5200,114.08333333333333,6.606708333333334,0.5207233426518123,0.5207233426518123,,0.0,786.0,
1961,5200,125.66666666666667,5.763041666666666,0.5070924824450923,0.5070924824450923,,0.0,794.0,
1962,5200,128.83333333333334,5.983,0.5413091947794456,0.5413091947794456,,0.0,803.0,
1963,5200,128.58333333333334,5.548958333333334,0.5384098071078439,0.5384098071078439,,0.0,680.0,
1964,5200,125.83333333333333,5.196583333333334,0.553463570561148,0.553463570561148,,0.0,787.0,
1965,5200,129.33333333333334,5.077916666666667,0.5783952622068437,0.5783952622068437,,0.0,578.0,
1966,5300,136.25,5.085458333333333,0.5763865181282719,0.5763865181282719,,0.0,573.0,
1967,5200,136.08333333333334,5.058791666666667,0.5493941272167758,0.5493941272167758,,0.0,642.0,
1968,5200,132.41666666666666,5.449625,0.5667892011688671,0.5667892011688671,,0.0,606.0,
1969,5200,134.16666666666666,5.5765416666666665,0.5570522516521936,0.5570522516521936,,0.0,547.0,
1970,5200,135.25,5.920458333333333,0.5716728893939387,0.5716728893939387,,0.0,550.0,
1971,5200,135.58333333333334,6.066416666666666,0.5739212706005589,0.5739212706005589,,0.0,716.0,
1972,5300,131.16666666666666,6.128208333333333,0.5950235999300567,0.5950235999300567,,0.0,834.0,
1973,5200,126.83333333333333,6.857875,0.592579885587189,0.592579885587189,,0.0,562.0,
1974,5200,123.58333333333333,7.179333333333333,0.5828717714285722,0.5828717714285722,,0.0,665.0,
1975,5200,131.08333333333334,6.799625,0.569156020631619,0.569156020631619,,0.0,661.0,
1976,5196,126.0,7.536838383838384,0.5811522359828494,0.5811522359828494,,0.0,758.0,
1977,5291,121.25,8.06585071708002,0.5846317348607039,0.5846317348607039,,0.0,682.0,
1978,5200,118.58333333333333,8.197916666666666,0.5916492099732763,0.5916492099732763,,0.0,686.0,
1979,5200,121.16666666666667,7.519958333333332,0.6114975586268508,0.6114975586268508,,0.0,653.0,
1980,5200,116.0,7.911791666666667,0.6003206505439005,0.6003206505439005,,0.0,660.0,
1981,5200,112.0,8.623416666666666,0.5838355421482417,0.5838355421482417,,0.0,796.0,
1982,5200,113.33333333333333,8.104000000000001,0.5856037354166667,0.5856037354166667,,0.0,672.0,
1983,5300,112.0,8.127958333333334,0.5727353428936596,0.5727353428936596,,0.0,652.0,
1984,5200,108.25,8.233208333333334,0.5506887972453707,0.5506887972453707,,0.0,576.0,
1985,5200,105.91666666666667,8.449875,0.5639744733552633,0.5639744733552633,,0.0,608.0,
1986,5200,108.0,8.534,0.547315780762413,0.547315780762413,,0.0,564.0,
1987,5200,109.66666666666667,8.553333333333333,0.5432515977255059,0.5432515977255059,,0.0,484.0,
1988,5300,106.5,9.061124999999999,0.5457363351561141,0.5457363351561141,,0.0,490.0,
1989,5200,105.5,8.895791666666666,0.5483517225286323,0.5483517225286323,,0.0,553.0,
1990,5200,105.83333333333333,8.926499999999999,0.5265305344160104,0.5265305344160104,,0.0,508.0,
1991,5200,110.33333333333333,8.822458333333334,0.5509422087391495,0.5509422087391495,,0.0,387.0,
1992,5200,106.33333333333333,9.661,0.557546874715101,0.557546874715101,,0.0,351.0,
1993,5200,107.83333333333333,10.040708333333333,0.5538066497742201,0.5538066497742201,,0.0,406.0,
1994,5300,108.83333333333333,10.371541666666667,0.524823781018519,0.524823781018519,,0.0,360.0,
1995,5200,110.83333333333333,10.989375,0.5295357764763009,0.5295357764763009,,0.0,429.0,
1996,5200,111.83333333333333,11.623333333333333,0.563541489856657,0.563541489856657,,0.0,343.0,
1997,5200,113.66666666666667,11.144291666666668,0.5478293812562565,0.5478293812562565,,0.0,333.0,
1998,5200,113.0,11.366166666666667,0.5373750679193899,0.5373750679193899,,0.0,306.0,
1999,5200,112.16666666666667,10.211541666666667,0.5597704901507706,0.5597704901507706,,0.0,305.0,
2000,5300,111.83333333333333,11.599041666666666,0.5602561108817049,0.5602561108817049,,0.0,312.0,
2001,5200,112.83333333333333,11.280999999999999,0.5381235409886185,0.5381235409886185,,0.0,333.0,
